(772, 468)
(201, 198)
(771, 280)
(769, 220)
(634, 448)
(112, 229)
(780, 266)
(96, 32)
(775, 32)
(713, 31)
(60, 34)
(277, 316)
(714, 33)
(777, 268)
(774, 312)
(696, 229)
(109, 287)
(782, 236)
(682, 25)
(725, 187)
(312, 315)
(773, 270)
(73, 296)
(753, 212)
(770, 273)
(287, 308)
(757, 216)
(141, 240)
(771, 268)
(654, 60)
(65, 274)
(755, 109)
(225, 414)
(767, 290)
(57, 314)
(170, 447)
(509, 215)
(283, 248)
(56, 34)
(150, 376)
(717, 222)
(267, 126)
(67, 228)
(749, 272)
(163, 458)
(61, 224)
(752, 32)
(735, 32)
(109, 34)
(763, 88)
(683, 32)
(587, 62)
(741, 308)
(125, 268)
(637, 426)
(614, 208)
(80, 276)
(66, 182)
(81, 214)
(777, 298)
(58, 293)
(780, 363)
(101, 32)
(769, 289)
(683, 36)
(771, 230)
(71, 212)
(731, 206)
(772, 291)
(547, 214)
(128, 230)
(727, 222)
(716, 36)
(71, 282)
(556, 206)
(201, 446)
(71, 468)
(75, 223)
(786, 466)
(767, 277)
(784, 465)
(65, 302)
(101, 459)
(145, 38)
(303, 316)
(761, 68)
(281, 192)
(66, 223)
(679, 442)
(764, 310)
(738, 228)
(135, 278)
(724, 365)
(94, 112)
(637, 221)
